DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5,acs_idx_caf
35201105002,3520005,Toronto,535.0,Toronto,35,ON,0.575690376,0.646816401,0.529309088,0.097195832,0.621657676,11.0,13.0,18.0,0.542365749
35201105003,3520005,Toronto,535.0,Toronto,35,ON,0.551580873,0.619587522,0.507241023,0.095436175,0.594946931,10.0,14.0,20.0,0.521977255
35201105004,3520005,Toronto,535.0,Toronto,35,ON,0.515180667,0.587782769,0.47543313,0.089363147,0.5646585,11.0,16.0,22.0,0.489286365
35201106001,3520005,Toronto,535.0,Toronto,35,ON,0.624020975,0.68314583,0.56599292,0.106364129,0.664334358,6.0,15.0,19.0,0.581185412
35201106002,3520005,Toronto,535.0,Toronto,35,ON,0.576284354,0.638645793,0.524096118,0.10010858,0.618080714,6.0,16.0,21.0,0.545239879
35201106003,3520005,Toronto,535.0,Toronto,35,ON,0.606635307,0.672802558,0.554327531,0.102909984,0.654064381,7.0,13.0,19.0,0.57174617
35201106004,3520005,Toronto,535.0,Toronto,35,ON,0.572458824,0.633470463,0.517724979,0.099962633,0.613172469,6.0,17.0,21.0,0.539223336
35201107001,3520005,Toronto,535.0,Toronto,35,ON,0.724198233,0.764499046,0.647359176,0.123665048,0.744870384,3.0,15.0,16.0,0.667279238
35201107002,3520005,Toronto,535.0,Toronto,35,ON,0.686204642,0.736000202,0.619407603,0.114623912,0.718677098,4.0,14.0,17.0,0.637869681
35201107006,3520005,Toronto,535.0,Toronto,35,ON,0.681588064,0.725509203,0.61033435,0.114623912,0.709270252,0.0,17.0,17.0,0.627060602
35201109001,3520005,Toronto,535.0,Toronto,35,ON,0.487554828,0.566410108,0.453029781,0.084648984,0.545326121,15.0,18.0,21.0,0.467639996
35201109002,3520005,Toronto,535.0,Toronto,35,ON,0.491268505,0.571943851,0.453611528,0.085046712,0.545185612,12.0,17.0,20.0,0.47054537
35201110001,3520005,Toronto,535.0,Toronto,35,ON,0.547311467,0.62237727,0.504871101,0.094008386,0.592640565,8.0,15.0,17.0,0.522375361
35201110002,3520005,Toronto,535.0,Toronto,35,ON,0.53045972,0.613117852,0.490881296,0.090821971,0.582347264,6.0,16.0,17.0,0.507804314
35201110003,3520005,Toronto,535.0,Toronto,35,ON,0.523334163,0.598911825,0.480041171,0.090821971,0.569429433,10.0,16.0,18.0,0.500788913
35201110004,3520005,Toronto,535.0,Toronto,35,ON,0.527642432,0.605930354,0.485553427,0.090821971,0.575680374,10.0,16.0,17.0,0.506407158
35201110005,3520005,Toronto,535.0,Toronto,35,ON,0.449485861,0.540152421,0.420045519,0.077010364,0.518666866,12.0,18.0,23.0,0.441907861
35201111001,3520005,Toronto,535.0,Toronto,35,ON,0.487048402,0.590076976,0.459656271,0.082211833,0.561991227,4.0,17.0,17.0,0.471804969
35201111002,3520005,Toronto,535.0,Toronto,35,ON,0.489010866,0.575734924,0.451918873,0.084905713,0.547278609,8.0,18.0,19.0,0.470662498
35201111003,3520005,Toronto,535.0,Toronto,35,ON,0.507382897,0.606481846,0.475571424,0.085192659,0.579592477,5.0,16.0,16.0,0.492850904
35201111004,3520005,Toronto,535.0,Toronto,35,ON,0.434766684,0.531713132,0.40936987,0.072004179,0.509159963,11.0,19.0,22.0,0.430063134
35201112001,3520005,Toronto,535.0,Toronto,35,ON,0.480515739,0.598075712,0.465805255,0.07506179,0.576603706,9.0,18.0,19.0,0.479475163
35201112002,3520005,Toronto,535.0,Toronto,35,ON,0.469965152,0.571385021,0.44632532,0.07790744,0.551411245,9.0,18.0,20.0,0.466305942
35201112003,3520005,Toronto,535.0,Toronto,35,ON,0.497039104,0.619176406,0.484760869,0.077147702,0.59919229,10.0,18.0,19.0,0.500609683
35201113001,3520005,Toronto,535.0,Toronto,35,ON,0.544746396,0.650188692,0.516973874,0.088499794,0.621216985,3.0,14.0,14.0,0.528596037
35201113002,3520005,Toronto,535.0,Toronto,35,ON,0.538142615,0.651356093,0.515589901,0.085829478,0.624035994,5.0,14.0,15.0,0.525603265
35201113003,3520005,Toronto,535.0,Toronto,35,ON,0.505000292,0.615967889,0.481000466,0.082665214,0.587767779,6.0,16.0,16.0,0.492052816
35201113004,3520005,Toronto,535.0,Toronto,35,ON,0.573876671,0.688535124,0.551616255,0.090214069,0.662790894,6.0,13.0,14.0,0.562175412
35201113005,3520005,Toronto,535.0,Toronto,35,ON,0.524369042,0.643364961,0.504258534,0.08466336,0.615377374,7.0,15.0,16.0,0.51345544
35201114001,3520005,Toronto,535.0,Toronto,35,ON,0.547834913,0.669758897,0.531775182,0.086246321,0.644346981,9.0,13.0,16.0,0.542912343
35201114002,3520005,Toronto,535.0,Toronto,35,ON,0.536279741,0.65580314,0.518917393,0.085308145,0.630624453,9.0,12.0,16.0,0.530421763
35201114003,3520005,Toronto,535.0,Toronto,35,ON,0.53813377,0.653773262,0.51828086,0.085829478,0.627649522,10.0,12.0,14.0,0.527104588
35201114004,3520005,Toronto,535.0,Toronto,35,ON,0.502941771,0.623698259,0.485715428,0.081548885,0.597884417,10.0,14.0,17.0,0.495770549
35201114005,3520005,Toronto,535.0,Toronto,35,ON,0.518301343,0.637797278,0.501804524,0.082994599,0.611952665,11.0,12.0,15.0,0.508827679
35201114006,3520005,Toronto,535.0,Toronto,35,ON,0.486115283,0.60982764,0.475175282,0.077966538,0.58749669,11.0,13.0,16.0,0.479839915
35201122001,3520005,Toronto,535.0,Toronto,35,ON,0.422878699,0.57596516,0.41284718,0.069625969,0.542650794,13.0,17.0,18.0,0.413325564
35201122002,3520005,Toronto,535.0,Toronto,35,ON,0.418845346,0.568053805,0.406361248,0.070010588,0.534205209,14.0,17.0,18.0,0.407530779
35201123001,3520005,Toronto,535.0,Toronto,35,ON,0.404217375,0.548454928,0.387336882,0.069494754,0.510471279,15.0,19.0,20.0,0.389556286
35201123002,3520005,Toronto,535.0,Toronto,35,ON,0.405801799,0.564981154,0.400445328,0.066319881,0.536760736,13.0,18.0,18.0,0.395314506
35201124001,3520005,Toronto,535.0,Toronto,35,ON,0.408390066,0.567211672,0.401831545,0.066703158,0.538007516,13.0,18.0,19.0,0.397331217
35201124002,3520005,Toronto,535.0,Toronto,35,ON,0.41394834,0.582157911,0.412969143,0.066563022,0.553432668,11.0,15.0,18.0,0.398857074
35201125001,3520005,Toronto,535.0,Toronto,35,ON,0.360528704,0.516546765,0.350365295,0.060593891,0.481679606,16.0,17.0,21.0,0.343463851
35201125002,3520005,Toronto,535.0,Toronto,35,ON,0.359863133,0.520923796,0.352050709,0.05894851,0.489651767,15.0,16.0,21.0,0.338925808
35201126001,3520005,Toronto,535.0,Toronto,35,ON,0.365601945,0.52462477,0.355563314,0.059749072,0.493325525,15.0,16.0,20.0,0.341409258
35201126002,3520005,Toronto,535.0,Toronto,35,ON,0.373864207,0.535631175,0.366221668,0.060140602,0.505885148,13.0,13.0,17.0,0.345807893
35201127001,3520005,Toronto,535.0,Toronto,35,ON,0.408950584,0.576817092,0.411079657,0.064665202,0.549237928,8.0,13.0,18.0,0.389563961
35201127002,3520005,Toronto,535.0,Toronto,35,ON,0.408644227,0.578809269,0.40899013,0.064849528,0.550938135,10.0,14.0,17.0,0.390540703
35201128001,3520005,Toronto,535.0,Toronto,35,ON,0.373832774,0.536397346,0.37243285,0.060367504,0.509019107,12.0,13.0,16.0,0.352832988
35201128002,3520005,Toronto,535.0,Toronto,35,ON,0.330938788,0.486478905,0.322487591,0.054941621,0.45989209,12.0,15.0,18.0,0.302510101
