DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35201623001,3520005,Toronto,535.0,Toronto,35,ON,0.11028768,0.203605198,0.167904277,0.0,0.247223362,0.031918129,4.322833333,9.606983333,11.24901667
35201624001,3520005,Toronto,535.0,Toronto,35,ON,0.107041478,0.202795436,0.166452672,0.0,0.239590342,0.031178926,4.990016667,10.2625,10.56545
35201625001,3520005,Toronto,535.0,Toronto,35,ON,0.110684559,0.211629067,0.171305279,0.0,0.264218982,0.034372782,3.557133333,8.45695,11.06331667
35201625002,3520005,Toronto,535.0,Toronto,35,ON,0.118141652,0.212435323,0.172822714,0.0,0.255730474,0.035078038,2.9605,9.098483333,10.93481667
35201626001,3520005,Toronto,535.0,Toronto,35,ON,0.133210428,0.225010507,0.183769605,0.0,0.275584192,0.03884932,2.813283333,8.888166667,10.7245
35201626002,3520005,Toronto,535.0,Toronto,35,ON,0.129779752,0.222863244,0.180137894,0.0,0.271064969,0.036782735,1.587183333,8.861266667,10.6976
35201626003,3520005,Toronto,535.0,Toronto,35,ON,0.138300989,0.232448499,0.193644358,0.0,0.288714731,0.04033927,2.816633333,8.509083333,10.72786667
35201627001,3520005,Toronto,535.0,Toronto,35,ON,0.122390987,0.222169798,0.18167687,0.0,0.284644368,0.037461359,0.0,7.330066667,10.10711667
35201627002,3520005,Toronto,535.0,Toronto,35,ON,0.119962593,0.218101677,0.177834302,0.0,0.279106791,0.037126991,0.504666667,7.436216667,10.21328333
35201629001,3520005,Toronto,535.0,Toronto,35,ON,0.135581688,0.238933919,0.194800614,0.0,0.285525238,0.036878733,2.4098,7.80275,10.36185
35201629002,3520005,Toronto,535.0,Toronto,35,ON,0.133821434,0.238250027,0.193238223,0.0,0.2888817,0.037171241,2.04345,8.130016667,10.029
35201629003,3520005,Toronto,535.0,Toronto,35,ON,0.129634211,0.232780876,0.191635704,0.0,0.278851246,0.036305485,1.526666667,6.9196,10.48361667
35201630001,3520005,Toronto,535.0,Toronto,35,ON,0.131536811,0.23469705,0.191580533,0.0,0.280544042,0.037290071,2.968516667,9.055083333,10.89141667
35201630002,3520005,Toronto,535.0,Toronto,35,ON,0.132212885,0.234716345,0.194823182,0.0,0.284601349,0.037344155,3.05695,9.1435,10.97985
35201630003,3520005,Toronto,535.0,Toronto,35,ON,0.133303212,0.236170365,0.195769252,0.0,0.29064144,0.037196713,3.010966667,8.841466667,10.6778
35201631001,3520005,Toronto,535.0,Toronto,35,ON,0.128667608,0.219439511,0.186494129,0.0,0.287860092,0.039190391,4.2288,9.1644,12.14001667
35201631002,3520005,Toronto,535.0,Toronto,35,ON,0.126143156,0.215909689,0.184482802,0.0,0.282237659,0.038767726,4.46735,9.40295,12.37858333
35201632002,3520005,Toronto,535.0,Toronto,35,ON,0.132381193,0.228987467,0.196292637,0.0,0.302052262,0.039452022,3.4828,8.238083333,11.21371667
35201632003,3520005,Toronto,535.0,Toronto,35,ON,0.133053917,0.227810666,0.197414382,0.0,0.305656422,0.040909238,3.307216667,8.0525,11.02813333
35201632004,3520005,Toronto,535.0,Toronto,35,ON,0.135153048,0.229381907,0.198860841,0.0,0.29726855,0.046899298,3.480616667,8.416216667,11.39185
35201632005,3520005,Toronto,535.0,Toronto,35,ON,0.124883295,0.221547456,0.191417965,0.0,0.283674441,0.04090106,4.223,9.1586,11.8508
35201634001,3520005,Toronto,535.0,Toronto,35,ON,0.134143375,0.229109288,0.193880031,0.0,0.291580072,0.041010144,3.129216667,8.064816667,11.04045
35201634003,3520005,Toronto,535.0,Toronto,35,ON,0.140302142,0.230571983,0.194968478,0.0,0.292588344,0.041014643,3.40955,8.34515,11.19693333
35201634004,3520005,Toronto,535.0,Toronto,35,ON,0.135301915,0.226010558,0.187034536,0.0,0.281385251,0.038762824,2.92035,8.6128,10.83156667
35201634005,3520005,Toronto,535.0,Toronto,35,ON,0.131708441,0.227773907,0.189084137,0.0,0.284050056,0.039774005,3.139983333,8.295766667,11.0512
35201634006,3520005,Toronto,535.0,Toronto,35,ON,0.126102058,0.220629093,0.191722895,0.0,0.273718775,0.039579461,3.393066667,8.787816667,11.27165
35201635001,3520005,Toronto,535.0,Toronto,35,ON,0.138441192,0.235657979,0.203520448,0.0,0.314205511,0.049325284,4.389683333,9.325283333,11.42743333
35201635002,3520005,Toronto,535.0,Toronto,35,ON,0.134981488,0.232363892,0.20323725,0.0,0.293136879,0.052010078,5.529783333,10.46538333,12.70303333
35201635003,3520005,Toronto,535.0,Toronto,35,ON,0.136479907,0.221717285,0.201452004,0.0,0.27979136,0.050716951,4.648433333,9.584033333,11.23743333
35201635004,3520005,Toronto,535.0,Toronto,35,ON,0.140089589,0.221278268,0.20037522,0.0,0.27527246,0.048843851,4.347483333,9.742233333,11.06918333
35201636001,3520005,Toronto,535.0,Toronto,35,ON,0.134252916,0.230024704,0.196902758,0.0,0.292949653,0.050868582,5.734683333,10.67028333,12.02488333
35201636002,3520005,Toronto,535.0,Toronto,35,ON,0.135952794,0.216193256,0.190651993,0.0,0.255436021,0.049437283,5.9073,11.03815,12.48146667
35201636003,3520005,Toronto,535.0,Toronto,35,ON,0.140678523,0.22716213,0.199939391,0.0,0.26538175,0.050089249,5.359416667,10.98591667,12.1252
35201636004,3520005,Toronto,535.0,Toronto,35,ON,0.142056419,0.234717196,0.200940955,0.0,0.269773818,0.050648769,5.301783333,10.67613333,11.87595
35201641004,3520005,Toronto,535.0,Toronto,35,ON,0.133130769,0.240991657,0.190673364,0.0,0.293429277,0.053687161,5.715316667,12.06903333,12.0929
