DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35204763007,3520005,Toronto,535.0,Toronto,35,ON,0.196044269,0.309147733,0.214293835,0.030359266,0.273670339,0.192892066,14.0,16.0,18.0
35204763008,3520005,Toronto,535.0,Toronto,35,ON,0.112703353,0.18937951,0.126075177,0.021295419,0.157944616,0.131107987,10.0,21.0,22.0
35204763009,3520005,Toronto,535.0,Toronto,35,ON,0.199613792,0.316001371,0.222350971,0.030763053,0.277429784,0.202894256,13.0,14.0,17.0
35204763010,3520005,Toronto,535.0,Toronto,35,ON,0.154930362,0.247367749,0.172729168,0.02582383,0.210178515,0.173472796,5.0,16.0,17.0
35204763011,3520005,Toronto,535.0,Toronto,35,ON,0.179727951,0.284869998,0.19507288,0.029103068,0.250890427,0.176029017,17.0,18.0,21.0
35204763012,3520005,Toronto,535.0,Toronto,35,ON,0.168322968,0.266633288,0.184437209,0.027801926,0.234153702,0.165157123,20.0,22.0,23.0
35204763013,3520005,Toronto,535.0,Toronto,35,ON,0.163520176,0.260695395,0.180268634,0.027409306,0.228323433,0.161336086,20.0,22.0,23.0
35204763014,3520005,Toronto,535.0,Toronto,35,ON,0.197358403,0.311751621,0.22051653,0.030414061,0.273049987,0.204182587,12.0,13.0,16.0
35204763015,3520005,Toronto,535.0,Toronto,35,ON,0.189532524,0.299719735,0.213456439,0.029335831,0.258312607,0.203519975,8.0,11.0,15.0
35204763016,3520005,Toronto,535.0,Toronto,35,ON,0.200348016,0.314065454,0.224380004,0.030365054,0.271711389,0.213773073,7.0,10.0,14.0
35204763017,3520005,Toronto,535.0,Toronto,35,ON,0.162797794,0.259812824,0.179376663,0.027409306,0.227622491,0.160690554,20.0,22.0,23.0
35204764001,3520005,Toronto,535.0,Toronto,35,ON,0.353658011,0.511873497,0.345465727,0.061573031,0.555580659,0.329212039,15.0,18.0,20.0
35204765002,3520005,Toronto,535.0,Toronto,35,ON,0.40457366,0.563108212,0.396998031,0.072330282,0.617288155,0.370547392,2.0,14.0,15.0
35204765003,3520005,Toronto,535.0,Toronto,35,ON,0.390607714,0.547021223,0.382906392,0.070014428,0.599504425,0.357809763,3.0,14.0,16.0
35204765004,3520005,Toronto,535.0,Toronto,35,ON,0.372416887,0.525949854,0.364785349,0.067641288,0.576430821,0.34168507,4.0,15.0,20.0
35204766001,3520005,Toronto,535.0,Toronto,35,ON,0.302363904,0.494499394,0.290866158,0.062252498,0.47456604,0.23113932,17.0,22.0,24.0
