DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRCODE,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35200047002,3520005,Toronto,535.0,Toronto,35,ON,0.071257127,0.087310634,0.079683041,0.088096842,0.184787464,0.041919632,1.7949,3.646416667,6.918066667
35200048001,3520005,Toronto,535.0,Toronto,35,ON,0.066904522,0.078076879,0.077824128,0.085167118,0.156543912,0.040447317,1.90595,4.92445,6.3096
35200049001,3520005,Toronto,535.0,Toronto,35,ON,0.040941812,0.085318207,0.06821111,0.084083685,0.205278395,0.044346175,1.52565,5.295733333,6.0936
35200049002,3520005,Toronto,535.0,Toronto,35,ON,0.066589457,0.084650354,0.076037266,0.083017898,0.17301672,0.038607666,2.647166667,5.665666667,6.38805
35200049003,3520005,Toronto,535.0,Toronto,35,ON,0.065290921,0.077166361,0.077028177,0.083837352,0.152527637,0.039373606,2.362316667,5.380816667,6.1032
35200050002,3520005,Toronto,535.0,Toronto,35,ON,0.03889523,0.09197626,0.068522934,0.079823941,0.260204921,0.043104112,2.208333333,5.173516667,5.71675
35200050005,3520005,Toronto,535.0,Toronto,35,ON,0.050216027,0.145819099,0.039440734,0.0,0.255480055,0.031920526,2.216266667,2.759483333,4.781316667
35200051001,3520005,Toronto,535.0,Toronto,35,ON,0.040027506,0.12610264,0.054737541,0.0,0.252140067,0.032506266,3.030383333,3.062283333,3.573616667
35200051002,3520005,Toronto,535.0,Toronto,35,ON,0.03726165,0.091412805,0.052505849,0.0,0.230161282,0.036079432,2.75815,5.119933333,5.663166667
35200052001,3520005,Toronto,535.0,Toronto,35,ON,0.051723094,0.125069509,0.038289118,0.0,0.282970475,0.036120793,2.46525,3.9372,4.2212
35200053001,3520005,Toronto,535.0,Toronto,35,ON,0.037761199,0.092141848,0.066560699,0.079033631,0.269061048,0.037473408,2.496883333,5.800366667,6.084383333
35200054001,3520005,Toronto,535.0,Toronto,35,ON,0.039396526,0.095140647,0.067428906,0.079681119,0.288014779,0.038371162,2.260266667,5.438,5.722016667
35200055001,3520005,Toronto,535.0,Toronto,35,ON,0.052449819,0.142233252,0.038867594,0.0,0.321050257,0.036694999,2.937566667,3.221583333,3.697333333
35200055002,3520005,Toronto,535.0,Toronto,35,ON,0.049093679,0.093865237,0.065699329,0.076923587,0.281046372,0.042778931,3.584816667,4.888283333,5.1723
35200055003,3520005,Toronto,535.0,Toronto,35,ON,0.049626399,0.101847497,0.06683328,0.077116668,0.329717707,0.043134778,3.6043,4.2625,4.546516667
35200056001,3520005,Toronto,535.0,Toronto,35,ON,0.022235131,0.0984612,0.033235235,0.0,0.171131938,0.006965896,0.0,0.0,0.0
35200056002,3520005,Toronto,535.0,Toronto,35,ON,0.02712396,0.13073695,0.034853631,0.0,0.250551684,0.026908328,2.313833333,2.313833333,2.313833333
35200056003,3520005,Toronto,535.0,Toronto,35,ON,0.031068069,0.102709415,0.033755679,0.0,0.161454058,0.006958298,0.341833333,0.341833333,0.341833333
35200056004,3520005,Toronto,535.0,Toronto,35,ON,0.026925709,0.131062963,0.034713396,0.0,0.238088894,0.003478568,2.072416667,2.072416667,2.072416667
35200057001,3520005,Toronto,535.0,Toronto,35,ON,0.038797642,0.138988957,0.035652727,0.0,0.267903991,0.027541025,3.169983333,3.169983333,3.169983333
